,A5X5Y0,A8K7I4,A8MPY1,O00305,O00555,O00591,O14649,O14764,O15399,O15547,O15554,O43497,O43525,O43526,O60359,O60391,O60741,O60840,O75311,O75762,O94759,O95069,O95180,O95259,O95264,P02708,P04839,P07510,P11230,P13569,P14867,P16389,P17658,P17787,P18505,P18507,P21817,P22001,P22459,P22460,P23415,P23416,P24046,P28472,P28476,P29973,P30532,P30926,P31644,P32297,P34903,P35498,P35499,P36544,P37088,P39086,P42261,P42262,P42263,P43681,P46098,P47869,P47870,P48048,P48050,P48051,P48058,P48167,P48169,P48544,P48547,P48549,P51168,P51170,P51575,P51787,P51788,P51790,P54284,P54289,P56373,P56696,P57789,P62955,P63252,P78334,P78348,P78508,Q00975,Q01118,Q01668,Q02641,Q03721,Q04844,Q05586,Q05901,Q06432,Q07001,Q08289,Q09470,Q12791,Q12809,Q12879,Q13002,Q13003,Q13224,Q13507,Q13698,Q13936,Q14003,Q14524,Q14571,Q14573,Q14643,Q14654,Q14721,Q14722,Q14957,Q14CN2,Q15413,Q15822,Q15825,Q15858,Q16099,Q16322,Q16445,Q16478,Q16558,Q401N2,Q5JUK3,Q5XXA6,Q6PIU1,Q6UVM3,Q70Z44,Q7RTX7,Q7Z2W7,Q7Z3S7,Q7Z418,Q86XQ3,Q8IZS8,Q8N1C3,Q8NCM2,Q8NEC5,Q8NER1,Q8NET8,Q8TAE7,Q8TCU5,Q8TD43,Q8TDD5,Q8TDN1,Q8TDN2,Q8WXA8,Q8WXS5,Q92736,Q92806,Q92952,Q92953,Q93086,Q96D31,Q96KK3,Q96L42,Q96P56,Q96PR1,Q96QT4,Q96RD7,Q96RP8,Q99250,Q99571,Q99572,Q99928,Q9BQ31,Q9BXT2,Q9GZZ6,Q9H1D0,Q9H252,Q9H2S1,Q9H3M0,Q9HBA0,Q9NPC2,Q9NR82,Q9NS40,Q9NSA2,Q9NY46,Q9NY47,Q9NZQ8,Q9NZV8,Q9P0X4,Q9P1Z3,Q9UF02,Q9UGI6,Q9UGM1,Q9UHC3,Q9UI33,Q9UIX4,Q9UJ96,Q9UK17,Q9UL51,Q9UL62,Q9ULD8,Q9ULS6,Q9UN88,Q9UQ05,Q9UQC9,Q9UQD0,Q9Y210,Q9Y3Q4,Q9Y5S1,Q9Y5S8,Q9Y5Y9,Q9Y698,Q9Y6N3
P04839,0.01726809,0.01387723,0.016441698,0.015573193,0.007684126,0.017234589,0.019386465,0.015174756,0.0159499,0.015808279,0.016906017,0.008578398,0.013912364,0.014634949,0.013818467,0.011113278,0.012311884,0.00836131,0.013150668,0.013082319,0.010230399,0.020720914,0.011177981,0.012844123,0.014513079,0.015958223,1,0.015096265,0.014077867,0.009362012,0.012715029,0.015628712,0.017340897,0.013653542,0.015243021,0.0175104,0.005166804,0.019579525,0.013161535,0.014817753,0.013254069,0.014066585,0.019418688,0.014671997,0.017753215,0.01587788,0.016037005,0.013056773,0.013229359,0.017895012,0.013890372,0.011068416,0.014776639,0.015115807,0.016618305,0.01639937,0.010239556,0.013211655,0.012691329,0.014195286,0.015509202,0.014314939,0.016224462,0.016364534,0.013860376,0.020424226,0.012518955,0.013818033,0.014188189,0.019783249,0.015361303,0.019829837,0.014716302,0.015753099,0.017611951,0.01824617,0.012632423,0.014592325,0.013858545,0.011369756,0.015420134,0.020289661,0.020113428,0.016659868,0.014502549,0.011316478,0.014270789,0.017857528,0.008981429,0.013476966,0.008652933,0.0170045,0.012751476,0.018157275,0.012562451,0.019024016,0.017344978,0.015984532,0.011931573,0.019099349,0.011682544,0.012625983,0.01007331,0.012873245,0.012089242,0.009173494,0.01996816,0.009145979,0.008662429,0.013063287,0.010137246,0.008459862,0.008226493,0.008159193,0.017946481,0.01164977,0.013596432,0.012042776,0.011612659,0.005888259,0.01454127,0.016623071,0.011845312,0.013557652,0.013870335,0.015276881,0.012175287,0.021727166,0.016582981,0.011023056,0.015142746,0.015499135,0.013229342,0.018175329,0.018702925,0.011357068,0.015183918,0.019438893,0.013197255,0.012444143,0.020653631,0.011331948,0.011401549,0.013927267,0.020033514,0.020823864,0.011421603,0.011643393,0.020376327,0.016527189,0.016515382,0.019892187,0.012051477,0.007739403,0.023526,0.014240586,0.011388605,0.016050644,0.020285931,0.013294973,0.014704692,0.020468783,0.012723216,0.010947144,0.016255679,0.018654618,0.011795518,0.018741051,0.013613748,0.016499956,0.016891512,0.025413399,0.012244034,0.011398292,0.015831432,0.018610907,0.016005587,0.017613617,0.022497287,0.01280972,0.011214287,0.014487834,0.010391551,0.011674366,0.01122305,0.019250528,0.010080979,0.012080656,0.015945874,0.012870755,0.017054237,0.014884657,0.011943129,0.015053906,0.019176661,0.021030656,0.012495036,0.011760074,0.01076236,0.016677913,0.014024658,0.013845996,0.012718579,0.012015844,0.019110781,0.010813854,0.011132747,0.577776278,0.008672014,0.015479423,0.018470197
P07510,0.130723388,0.012672113,0.064125216,0.019170596,0.009758094,0.065874605,0.015731472,0.069745386,0.010518659,0.017205985,0.019413014,0.007833439,0.013944547,0.013868687,0.019439844,0.016107689,0.018024461,0.012583715,0.054592425,0.011784206,0.011420571,0.021010483,0.01016663,0.018216038,0.136730038,0.261101109,0.015096265,1,0.365935361,0.011839169,0.074875953,0.02342464,0.021001909,0.325091576,0.059643206,0.064709043,0.00679591,0.019251236,0.012352635,0.018642443,0.060895871,0.061424326,0.058140727,0.059727816,0.061907482,0.013028636,0.270605575,0.320367445,0.063713966,0.276374279,0.063456312,0.012338362,0.008981489,0.236000937,0.014491584,0.012598207,0.011450148,0.01149788,0.014765083,0.250713639,0.155377008,0.07079336,0.062350133,0.014434756,0.020321427,0.01537134,0.012755474,0.074808831,0.075817747,0.013892488,0.019093349,0.013371194,0.018262331,0.013339925,0.016027524,0.016496864,0.01414405,0.011128662,0.015315375,0.010456076,0.014509531,0.01454766,0.019565671,0.019745988,0.021109349,0.049259533,0.016986632,0.018558025,0.00964021,0.009317861,0.010196529,0.011713703,0.014390523,0.472613161,0.012949149,0.266597186,0.023481176,0.438366658,0.014009952,0.017277739,0.010992656,0.014662107,0.010605437,0.012435484,0.012997347,0.012468117,0.015234006,0.011576783,0.011271552,0.01434338,0.010407727,0.007944693,0.009568141,0.007232304,0.024880438,0.011382999,0.01239621,0.009370023,0.01429518,0.007768801,0.269238038,0.281416905,0.011368072,0.017822173,0.019982709,0.076096169,0.013894916,0.023414827,0.062255205,0.012203568,0.016772607,0.019897029,0.011083082,0.053897287,0.023404607,0.018497927,0.011305574,0.020250425,0.015739181,0.009800159,0.056271068,0.019017839,0.01345867,0.018009355,0.025210927,0.016109029,0.009017758,0.014188454,0.016521892,0.021650702,0.015236745,0.135258822,0.017905776,0.006025048,0.015905162,0.017131008,0.013366979,0.016056505,0.020365495,0.015610844,0.011063201,0.02121396,0.017329383,0.010091684,0.019143419,0.018467307,0.010376928,0.015693093,0.016837981,0.06673109,0.014751978,0.021053542,0.232059125,0.014700506,0.013259502,0.016437782,0.014754838,0.017315905,0.021101821,0.011122804,0.009980911,0.01590752,0.009636191,0.014016111,0.015506738,0.013930659,0.008861925,0.016931692,0.017973912,0.014157074,0.217682883,0.016012417,0.009626992,0.015826337,0.016082895,0.01167839,0.016788268,0.013988501,0.012719667,0.011762359,0.068290095,0.01275524,0.012298627,0.009846108,0.015211237,0.013318653,0.016244347,0.013975411,0.009224243,0.017876441,0.017836833
P11230,0.164872081,0.012145145,0.073308521,0.016610308,0.00913481,0.080698225,0.017678609,0.085281829,0.011584984,0.015664646,0.016164437,0.01126153,0.014863195,0.01392123,0.018993396,0.015676717,0.01299542,0.013337322,0.095754448,0.01919756,0.015078483,0.020471919,0.013455887,0.014806013,0.148625577,0.318756532,0.014077867,0.365935361,1,0.013465277,0.083488163,0.017433687,0.02018757,0.371039929,0.07849527,0.072439365,0.006951914,0.017393566,0.01837332,0.017359137,0.09194012,0.100426981,0.070600029,0.081088572,0.080551346,0.016149005,0.321807838,0.385041337,0.073930303,0.345951624,0.078568768,0.012417271,0.010296521,0.277009001,0.018733938,0.012916707,0.012744898,0.011804381,0.013547739,0.319042432,0.200176793,0.079615316,0.080168604,0.017867971,0.016163694,0.015172947,0.01307795,0.090772143,0.070148077,0.015332023,0.02141131,0.017380004,0.012236763,0.012373638,0.01583192,0.02132265,0.016782484,0.015592483,0.018638265,0.014692141,0.014501396,0.016374564,0.017246085,0.025929984,0.01564414,0.065731465,0.020525515,0.021477374,0.010128799,0.013084044,0.011438802,0.015373211,0.014929455,0.351597835,0.013271915,0.344482627,0.021828701,0.362473212,0.015210929,0.019062389,0.011511583,0.013494904,0.009868326,0.012611285,0.013882212,0.010445356,0.016192127,0.012036421,0.009253584,0.017273555,0.010649949,0.008961364,0.00962047,0.007823517,0.015661348,0.01519706,0.017600036,0.011427041,0.012526768,0.007390031,0.336517461,0.330318622,0.010760197,0.012003426,0.020075809,0.083000028,0.012586447,0.025904555,0.075131014,0.012861427,0.012689791,0.01479743,0.017554236,0.084959457,0.023537682,0.01378244,0.01587517,0.024211694,0.02092275,0.010067778,0.065665643,0.013582178,0.016048747,0.016938343,0.020697365,0.016745181,0.016639259,0.013779331,0.016034796,0.0197048,0.018724366,0.155420328,0.019397017,0.007320169,0.018925881,0.021030702,0.012708701,0.019169178,0.022620392,0.017694067,0.011735445,0.022268734,0.016737493,0.008856649,0.020666569,0.015739808,0.010714965,0.01699028,0.012977774,0.070803921,0.017070344,0.024250718,0.26595792,0.025666912,0.013043543,0.015594668,0.017265492,0.016984939,0.016767117,0.014805061,0.010739207,0.01714068,0.01255085,0.015710494,0.014852292,0.016510564,0.011054264,0.013951482,0.027213646,0.016408242,0.243417235,0.018428283,0.011272845,0.021337156,0.020089465,0.018349065,0.014188003,0.015686726,0.013673454,0.014861917,0.080517935,0.014002411,0.018708739,0.011329477,0.013322694,0.012647406,0.01632003,0.017716227,0.011958516,0.021468742,0.017302514
P13569,0.012182515,0.009934158,0.012115035,0.009930356,0.010449653,0.014975054,0.011724704,0.011109815,0.007458415,0.013948267,0.011025247,0.007843883,0.009468425,0.009501753,0.013075045,0.009111163,0.009454679,0.009925942,0.010249087,0.010972404,0.008525744,0.021239327,0.007231019,0.010920194,0.011898472,0.014291958,0.009362012,0.011839169,0.013465277,1,0.00940038,0.013363176,0.01007222,0.012389703,0.013769745,0.010935411,0.005739066,0.009652286,0.008787489,0.00853426,0.010329673,0.010385919,0.011465244,0.012705275,0.015055049,0.01176387,0.013944694,0.013951245,0.012888019,0.011970238,0.012377501,0.010953789,0.008427514,0.009860281,0.009737581,0.009295266,0.009208022,0.012679306,0.011380381,0.010245358,0.018054182,0.012091665,0.012125539,0.014125374,0.01122686,0.015112351,0.008739066,0.011748222,0.009908837,0.012492453,0.013097011,0.01309623,0.009286204,0.01072775,0.009483436,0.015125239,0.00780078,0.008427079,0.010902791,0.00853386,0.011093367,0.010254441,0.012825469,0.013506745,0.012411324,0.011656667,0.014841453,0.016491487,0.011141758,0.00945305,0.009574665,0.009190767,0.008626865,0.010783538,0.011396432,0.01342632,0.01424413,0.011411336,0.01096774,0.01160973,0.009096933,0.007016968,0.012715546,0.012731886,0.011604631,0.007604406,0.013698778,0.009506157,0.011369084,0.008509035,0.010454958,0.008602025,0.007500834,0.008912147,0.012472348,0.009328887,0.015729605,0.008603504,0.010483333,0.007148352,0.010889612,0.012608205,0.010960726,0.008400459,0.011867326,0.011760972,0.008006272,0.014583664,0.012315897,0.012838555,0.010294284,0.015903892,0.015975731,0.011706694,0.012276819,0.0084489,0.010129,0.012267561,0.014280548,0.017243573,0.00947311,0.013006614,0.011880698,0.009142021,0.015743236,0.01279563,0.010436559,0.007568657,0.014377621,0.015752551,0.014077353,0.012921485,0.014393583,0.006723159,0.01334881,0.012756095,0.010100057,0.010112964,0.013807521,0.013542193,0.010824961,0.017848976,0.008508807,0.007562234,0.015178125,0.013779644,0.010971204,0.013094547,0.009084666,0.014452353,0.014285736,0.01511431,0.009700221,0.009539514,0.00834628,0.015046138,0.014401907,0.015145436,0.012258928,0.011668869,0.007953518,0.011821012,0.009967686,0.008992055,0.011361798,0.010967218,0.008128229,0.008518961,0.01669373,0.014922051,0.011676052,0.009491307,0.011542425,0.012278084,0.011169929,0.01419919,0.008806237,0.009998526,0.007548964,0.012253126,0.009737848,0.008434845,0.012615698,0.00913763,0.012683517,0.006605192,0.014106738,0.010891417,0.00889324,0.015651894,0.01549691
P14867,0.060593778,0.014344895,0.243302576,0.017393984,0.008857214,0.256297925,0.022576449,0.275958028,0.011530992,0.018895407,0.026258671,0.008136152,0.017831109,0.013676301,0.024169527,0.014209106,0.015851712,0.010248856,0.297927961,0.016908076,0.011670786,0.019906516,0.008143348,0.014082126,0.094532367,0.072308855,0.012715029,0.074875953,0.083488163,0.00940038,1,0.018657446,0.016485338,0.084629787,0.295792277,0.406202332,0.00602475,0.01524045,0.01259357,0.014038566,0.299022827,0.301905482,0.251852672,0.291573335,0.246232731,0.017081734,0.075138442,0.097862059,0.690745963,0.065994053,0.668464521,0.009702328,0.010678635,0.066926052,0.01741926,0.011026727,0.013939369,0.012210566,0.012245554,0.075065624,0.086781936,0.747614127,0.290675298,0.015104047,0.015868405,0.023724385,0.012801819,0.227130901,0.508670522,0.025384873,0.014427746,0.016599995,0.017316344,0.014512319,0.015473613,0.017347647,0.013218265,0.013218017,0.013824981,0.016321816,0.020545187,0.015109837,0.018059757,0.019356853,0.018106678,0.314467029,0.014201334,0.019708327,0.009684358,0.009677938,0.010349411,0.01701321,0.014052879,0.076211137,0.013312903,0.069267864,0.018702476,0.074384088,0.014178189,0.018751951,0.008882411,0.012038025,0.011959474,0.011574049,0.014243496,0.013240941,0.013689307,0.012087731,0.009405164,0.01634314,0.010754115,0.014205383,0.009640125,0.010411469,0.017539159,0.013618762,0.020405094,0.017256478,0.016802553,0.006587483,0.076590868,0.080249517,0.009658169,0.01213631,0.019833008,0.55474702,0.015042707,0.0216368,0.049805907,0.011689407,0.014419433,0.016703021,0.012034552,0.026959956,0.017398724,0.014299061,0.012929904,0.020826504,0.015811259,0.012299906,0.394982283,0.013654068,0.018062447,0.01881717,0.015936668,0.018176753,0.014897113,0.009704757,0.018300652,0.017490174,0.012564211,0.069091306,0.015126084,0.007665535,0.01824231,0.018192857,0.014343388,0.018562667,0.020597934,0.01716359,0.01242417,0.013438284,0.014197008,0.012778209,0.018581189,0.015230585,0.010719583,0.017341456,0.012159534,0.380348777,0.013055305,0.022358526,0.081519016,0.015450757,0.01112429,0.018770604,0.015267623,0.012209233,0.027723461,0.011664588,0.011116621,0.020413019,0.008929214,0.011228949,0.011501397,0.019428446,0.010446458,0.013646437,0.016130711,0.0173476,0.080708728,0.015285332,0.01043451,0.018389183,0.019787548,0.017817338,0.012183063,0.012141568,0.013778245,0.021092101,0.220913485,0.01368551,0.013496311,0.010657494,0.012042141,0.01208686,0.013543027,0.01632583,0.012219751,0.02248164,0.020864129
P16389,0.013599606,0.011687234,0.023667485,0.014096794,0.02031638,0.016494931,0.039165203,0.018152134,0.011807769,0.015008883,0.054588368,0.029427121,0.066555628,0.069669803,0.031301048,0.009439742,0.034013753,0.027792612,0.020282266,0.016937006,0.019518455,0.033732311,0.024426712,0.022756913,0.019288464,0.017959049,0.015628712,0.02342464,0.017433687,0.013363176,0.018657446,1,0.616642537,0.023249389,0.016397243,0.0159188,0.007560492,0.667419711,0.572811811,0.562358666,0.02044174,0.020150046,0.020749278,0.015775937,0.017135813,0.024364971,0.026188794,0.017864384,0.014602598,0.017380978,0.025979157,0.028727161,0.032174118,0.01418647,0.015321193,0.016578432,0.018293528,0.020049433,0.020437378,0.012736937,0.016688254,0.021453868,0.015953928,0.020422957,0.023042135,0.025172246,0.020085077,0.021986569,0.022801864,0.023419596,0.274717544,0.018504329,0.015186924,0.016983607,0.016404261,0.08309888,0.012015507,0.014237811,0.016655083,0.011733357,0.018078975,0.070357509,0.033500727,0.022282964,0.027006922,0.018006218,0.016646088,0.029496942,0.019822509,0.020121775,0.031678037,0.012694279,0.247680548,0.018604701,0.018752331,0.028754247,0.020599814,0.017591222,0.013664476,0.784697151,0.029717437,0.029130749,0.009735681,0.02002124,0.018680609,0.011207652,0.023088289,0.028477194,0.026643815,0.220207953,0.027734541,0.008712255,0.009960449,0.007895791,0.0241481,0.220918291,0.015648028,0.010682834,0.011506088,0.009245827,0.015462658,0.014668286,0.029088216,0.0111396,0.574961356,0.024136193,0.013669233,0.023965208,0.019752752,0.022164375,0.016213143,0.227115135,0.027020702,0.013791044,0.031141171,0.026402791,0.012588578,0.028580648,0.040490543,0.013026647,0.018145978,0.027963609,0.025128066,0.015905616,0.019352644,0.231858028,0.012690873,0.016491043,0.016546588,0.221785554,0.190074248,0.015786809,0.023741358,0.008975253,0.022356525,0.033959976,0.210063091,0.013729607,0.02282936,0.236471245,0.031366701,0.037330449,0.23834775,0.014599497,0.02106817,0.58594318,0.029545258,0.024961168,0.017061431,0.020529374,0.238095399,0.022346509,0.012925922,0.016752304,0.029042315,0.040522713,0.246854051,0.017287117,0.034957317,0.061617267,0.029027023,0.251514275,0.029201316,0.012583832,0.018264516,0.247541363,0.023491897,0.028160734,0.024874006,0.032641958,0.013094366,0.016020512,0.032099348,0.231159911,0.214192885,0.240741478,0.026919857,0.018997969,0.023173199,0.254789248,0.019000663,0.021937885,0.015664711,0.029457444,0.02335318,0.025652413,0.014140023,0.0162707,0.029101839,0.02937092,0.0182561
P17658,0.01372731,0.010334009,0.014804902,0.014917063,0.018072706,0.014551007,0.039124653,0.018731431,0.012422252,0.018959325,0.05014423,0.026319005,0.055753669,0.066372401,0.019000449,0.011053757,0.02340785,0.024621409,0.018454285,0.011660046,0.015777696,0.036890485,0.027365284,0.020674716,0.014481126,0.020569877,0.017340897,0.021001909,0.02018757,0.01007222,0.016485338,0.616642537,1,0.014738436,0.013369047,0.017859235,0.008712363,0.581149423,0.517418556,0.537953109,0.017630668,0.021817438,0.012300426,0.014107387,0.013676479,0.02403205,0.01975552,0.014484696,0.013923533,0.014956415,0.015743788,0.020502594,0.023569495,0.014811798,0.017963016,0.012328487,0.021139203,0.020084856,0.020870737,0.014119258,0.016892412,0.014087759,0.013036361,0.023104317,0.025035581,0.027579685,0.022190911,0.019390795,0.012266126,0.023651403,0.267396989,0.018447902,0.013391099,0.014970021,0.020183743,0.077934562,0.015674429,0.012605165,0.013828033,0.012215652,0.017269601,0.064221096,0.037995326,0.017784536,0.026309507,0.015758215,0.013767975,0.028947932,0.019163212,0.016818328,0.025892371,0.014317412,0.236333043,0.019297381,0.024126068,0.018661514,0.022403996,0.023406298,0.022669005,0.600228074,0.029793072,0.025235952,0.009844602,0.012580967,0.012997217,0.010083952,0.019711497,0.022909616,0.022836672,0.231954676,0.02458548,0.009625697,0.011813932,0.007315128,0.023769387,0.200026351,0.016762988,0.010914314,0.012633979,0.007806125,0.013880629,0.014917063,0.020246934,0.012249847,0.529968006,0.013529464,0.014015478,0.017451315,0.030799637,0.021782334,0.011459065,0.218998785,0.020084363,0.015071357,0.032421217,0.024030509,0.012046953,0.027840972,0.032830307,0.011208108,0.013538189,0.024515709,0.021658201,0.013795823,0.013809005,0.223947185,0.014499461,0.014514859,0.016172031,0.189324395,0.18410711,0.016827046,0.021542404,0.005961567,0.024550628,0.034614731,0.193845644,0.017093963,0.025668434,0.2260621,0.022648216,0.033326936,0.230910208,0.010849474,0.018127023,0.581034007,0.020908557,0.022242449,0.014661304,0.014121595,0.219322498,0.023917899,0.02128226,0.017544715,0.025583606,0.036376718,0.227039047,0.01334163,0.031211606,0.054752921,0.028302456,0.231016054,0.022060592,0.012165293,0.016317538,0.225192109,0.021132217,0.022287868,0.022042805,0.032325951,0.015303979,0.017267861,0.027398262,0.210391167,0.203769697,0.219714305,0.02076423,0.017035219,0.016109633,0.246696542,0.011480438,0.018605993,0.010276084,0.02070253,0.019155778,0.017611035,0.019678396,0.012963904,0.021735563,0.018386306,0.018672026
P17787,0.172873031,0.015171617,0.083115349,0.013518589,0.008834234,0.093075682,0.016298653,0.069152257,0.013919952,0.014201357,0.017728349,0.009031188,0.012631691,0.014133344,0.027981131,0.010745481,0.018466991,0.009926383,0.07663079,0.012773042,0.01086882,0.016623648,0.010082157,0.015133296,0.166246249,0.373448983,0.013653542,0.325091576,0.371039929,0.012389703,0.084629787,0.023249389,0.014738436,1,0.07671834,0.075737735,0.006736413,0.016948749,0.012128908,0.012309577,0.083949258,0.083413352,0.070227747,0.074246978,0.077573537,0.015414805,0.386792536,0.614938032,0.085567185,0.443713482,0.077199033,0.011401656,0.009848294,0.322529475,0.012851829,0.014524499,0.01211424,0.013890087,0.010639185,0.40758007,0.220987809,0.087773346,0.076750716,0.017987893,0.021705923,0.016126702,0.009756741,0.064250948,0.071228115,0.015045079,0.015001486,0.013868682,0.012830196,0.013621286,0.014698541,0.020068125,0.013126897,0.014771679,0.01757436,0.014233416,0.013364272,0.022900269,0.012912475,0.021707193,0.020885368,0.064450787,0.01348999,0.018060391,0.01261614,0.012395286,0.009557926,0.016508567,0.013182109,0.314406516,0.017787865,0.393996688,0.02904546,0.372493579,0.012636645,0.019153405,0.010848203,0.022248613,0.013345741,0.015645742,0.01269313,0.012140218,0.013299146,0.012758063,0.010558434,0.014620172,0.010782966,0.008586987,0.010559714,0.009241437,0.019257084,0.012209823,0.016465132,0.011007834,0.011340649,0.005832248,0.440518118,0.430717267,0.009843358,0.014136017,0.015071659,0.072367008,0.013200516,0.026688242,0.066989212,0.013759162,0.011817161,0.018351461,0.010929247,0.098695198,0.018101243,0.010917034,0.012908891,0.018708125,0.018452251,0.012197378,0.073873109,0.012159502,0.012681778,0.019193238,0.016803625,0.018688209,0.01200301,0.012251096,0.029391459,0.019227544,0.014828172,0.155997174,0.022784207,0.00619836,0.021393276,0.016735844,0.01278215,0.02111843,0.02812639,0.012413171,0.010903878,0.019335464,0.014817819,0.010180383,0.018896372,0.014665873,0.009706815,0.018826083,0.013249061,0.080742221,0.021750086,0.022025203,0.29819724,0.02018064,0.012439721,0.01943512,0.018891894,0.022049896,0.016459246,0.015147764,0.011173731,0.019223372,0.011245732,0.00967426,0.014401522,0.015238301,0.008939816,0.01708051,0.018642648,0.015380082,0.278925659,0.013430714,0.010512564,0.017843727,0.017807107,0.013440336,0.015947903,0.010990649,0.011548318,0.014783548,0.068723109,0.013132656,0.014198806,0.009741636,0.016600428,0.013557858,0.018071781,0.013922018,0.0129507,0.024440224,0.020601376
P18505,0.071112823,0.014999831,0.330021645,0.015376836,0.009768742,0.362149298,0.015562421,0.380739107,0.020581081,0.01635793,0.021584015,0.0102626,0.01309491,0.013911649,0.018346454,0.016030056,0.017082515,0.012170372,0.31695103,0.015732409,0.011042045,0.018525751,0.011533111,0.015127957,0.066882384,0.062030768,0.015243021,0.059643206,0.07849527,0.013769745,0.295792277,0.016397243,0.013369047,0.07671834,1,0.319080654,0.007972252,0.013909805,0.013779385,0.016128465,0.315347706,0.321800179,0.339614373,0.77795816,0.342032047,0.02153106,0.078046521,0.07850844,0.295955965,0.085869066,0.287632619,0.01172127,0.011842954,0.077694519,0.012990043,0.013609329,0.01431083,0.02122806,0.012352856,0.072879316,0.08786529,0.30792553,0.761109589,0.017759552,0.014584568,0.021004776,0.013632631,0.288696478,0.281268906,0.025211265,0.020735477,0.019104034,0.012107042,0.014631184,0.015455233,0.012854533,0.015383268,0.014700838,0.014214693,0.016863282,0.018692384,0.01604961,0.016828102,0.021708989,0.020377656,0.260866162,0.018142292,0.019864314,0.01108064,0.015741048,0.01028589,0.014411752,0.015568305,0.065345648,0.017143592,0.085058468,0.020171172,0.063006003,0.013617153,0.01926011,0.012495577,0.011081266,0.012120045,0.016365611,0.016484402,0.00918395,0.013174093,0.012310276,0.009448787,0.012812551,0.010197829,0.009071441,0.007868121,0.01134513,0.020636183,0.017630189,0.016852866,0.014760533,0.016691361,0.006738908,0.092538236,0.084085989,0.012284819,0.014227574,0.023241226,0.292829774,0.012555968,0.020670695,0.061416116,0.012887402,0.014617086,0.01545735,0.016018326,0.024098018,0.019988844,0.01355453,0.01637055,0.017610802,0.022910214,0.016238418,0.303708577,0.013865946,0.017013549,0.014277291,0.018832253,0.014740727,0.014407886,0.011945881,0.025081418,0.01470758,0.013497312,0.080238486,0.013618584,0.007735748,0.019516458,0.021309794,0.020822821,0.019767346,0.015466321,0.016133487,0.011968661,0.023936658,0.01743238,0.010756666,0.018512988,0.020134613,0.012627797,0.023064905,0.012502298,0.290036399,0.017603019,0.016581029,0.087910839,0.014581086,0.017055868,0.021441726,0.019980332,0.017218085,0.019110365,0.013667644,0.016420544,0.016289232,0.014226865,0.016972198,0.011840751,0.015621584,0.011491885,0.012489669,0.017737833,0.020336847,0.093056528,0.015804752,0.013492851,0.012851296,0.01374253,0.016341418,0.012436125,0.011534352,0.012104828,0.016333947,0.350842751,0.014439352,0.02115034,0.01098995,0.018366105,0.010889491,0.014289021,0.014249864,0.014022311,0.016726994,0.025411951
P18507,0.073995045,0.015646078,0.247642436,0.012973205,0.012234108,0.280414497,0.019019985,0.315112119,0.009530957,0.013628428,0.019770898,0.008686741,0.012434597,0.014575335,0.01899082,0.011757226,0.012159185,0.010728964,0.290036095,0.01656343,0.010760371,0.017143518,0.010666355,0.017278689,0.074042656,0.068652356,0.0175104,0.064709043,0.072439365,0.010935411,0.406202332,0.0159188,0.017859235,0.075737735,0.319080654,1,0.005287158,0.012380806,0.01336494,0.012341907,0.288242472,0.283872362,0.259253943,0.304672043,0.265112218,0.015227528,0.065338688,0.08434759,0.390180975,0.099011769,0.401416414,0.011366278,0.010257842,0.079789364,0.015076132,0.011954173,0.011621477,0.012109346,0.014044035,0.077160511,0.077429693,0.393960206,0.296526423,0.016783719,0.017410345,0.029850567,0.014290762,0.235243529,0.37101632,0.018703715,0.023110441,0.017241244,0.017472277,0.015062727,0.021871126,0.015311463,0.011624518,0.015081295,0.019318947,0.017299703,0.018376282,0.016132348,0.013506518,0.017908831,0.021749676,0.414981207,0.015791842,0.016126691,0.011203643,0.01150463,0.009199708,0.011110947,0.018756764,0.060277709,0.021210415,0.073987502,0.016285559,0.076713148,0.010459758,0.014616767,0.012803424,0.011023562,0.012625655,0.010320604,0.011363916,0.010602419,0.016458059,0.011132884,0.010795562,0.016942631,0.010339817,0.010542294,0.009358548,0.006771631,0.015619681,0.013491064,0.015260546,0.011228689,0.01429426,0.007831562,0.087378699,0.082873606,0.014191953,0.013587347,0.015542993,0.426133939,0.015858833,0.02214483,0.059800975,0.011326667,0.015510368,0.015376859,0.010234619,0.02823883,0.022725435,0.016102189,0.013183341,0.018184379,0.017922951,0.011784373,0.744391375,0.015605041,0.013539963,0.016318277,0.01405064,0.021786466,0.013029872,0.013885136,0.015524949,0.018673767,0.013427027,0.073031788,0.020744865,0.007819586,0.017208599,0.022512029,0.011153902,0.015858396,0.020178075,0.015858409,0.01309697,0.016455455,0.020432186,0.010902551,0.020343902,0.016963985,0.009617812,0.015664237,0.015064771,0.685399936,0.016134057,0.018117115,0.080678526,0.014189828,0.011725199,0.023904391,0.020860263,0.016685448,0.018784531,0.011860752,0.011143281,0.021720803,0.011499135,0.016500095,0.012931395,0.028112114,0.009403777,0.011166441,0.018172196,0.022658659,0.080652817,0.012540527,0.013319339,0.017239536,0.022852961,0.025667879,0.011789184,0.013713174,0.010453866,0.016048287,0.218134874,0.01422736,0.018339096,0.012410116,0.012372127,0.009699122,0.012319332,0.013266964,0.014641811,0.019576342,0.036305842
