,O00482,O15528,O75469,O95718,P03372,P04150,P06401,P08235,P10275,P10276,P10826,P10827,P10828,P11473,P11474,P13631,P15121,P15514,P19793,P20393,P24468,P28702,P35398,P37231,P41235,P43354,P48443,P49116,P51449,P51843,P55055,P62508,Q03181,Q07869,Q13133,Q13285,Q14541,Q14994,Q92570,Q92731,Q92753,Q96RI1,Q9Y466,Q9Y5X4
P15121,,,,,,,,,,,,,,,,,1677,46,48,43,36,40.5,50.5,37,59,36.5,40,53,42,44,47.5,52,40,44,54,47,62.5,44.5,44,32,61.5,46,54.5,40.5
P15514,,,,,,,,,,,,,,,,,,1308,44,46,55,43.5,57,50.5,71.5,58.5,50,51,42.5,33.5,71,46.5,30,47.5,52.5,60.5,40.5,37,41.5,42,42,61.5,38,45.5
P19793,,,,,,,,,,,,,,,,,,,2429,441,742.5,1634.5,387,430,691.5,519.5,1660.5,564,323.5,182.5,421.5,589,429.5,437.5,396.5,487.5,685.5,338,502,438,387,380.5,582,594
P20393,,,,,,,,,,,,,,,,,,,,3233,377,423.5,632.5,560,265,403.5,434,365,618,63.5,496.5,403.5,540.5,551.5,511,367,235,305.5,395.5,256,624.5,432,315,335
P24468,,,,,,,,,,,,,,,,,,,,,2207,766.5,373,371.5,587.5,475.5,729.5,638.5,313.5,210.5,401.5,496.5,397,401,400,446,569,331.5,435.5,369.5,342.5,335,683.5,738
P28702,,,,,,,,,,,,,,,,,,,,,,2876,387.5,395.5,687.5,504,1520.5,553,323,189.5,455.5,573,420.5,413,383,481,694,325.5,533.5,458.5,357.5,363,559.5,588.5
P35398,,,,,,,,,,,,,,,,,,,,,,,2750,504.5,313,391.5,409.5,369,1238,50,463.5,345.5,451.5,472.5,446,322.5,304.5,333.5,392,302,1522,433,288,283.5
P37231,,,,,,,,,,,,,,,,,,,,,,,,2622,350.5,357,434.5,306.5,476,75,401,350,1333,1339.5,443.5,284.5,331.5,338,351.5,247.5,506,417.5,321.5,384.5
P41235,,,,,,,,,,,,,,,,,,,,,,,,,2471,395,679.5,477,276.5,190.5,356,466,338,352,379,319.5,1563.5,373,362.5,362,323,347,490,504.5
P43354,,,,,,,,,,,,,,,,,,,,,,,,,,3209,491.5,325,375,60,406.5,498,355.5,340,424,332,392,289.5,1751,397,377.5,361,373.5,384
P48443,,,,,,,,,,,,,,,,,,,,,,,,,,,2426,573,323,190.5,402.5,571.5,414.5,440,396.5,482,666,341.5,485.5,446,376.5,393,566.5,603.5
P49116,,,,,,,,,,,,,,,,,,,,,,,,,,,,3035,344,224,334.5,369,302.5,316,315.5,342.5,454,312.5,323,283,381.5,332.5,535.5,477.5
P51449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2739,69.5,436,248.5,442,429.5,443,312.5,272,283.5,373.5,243,1160.5,387.5,278,293
P51843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2545,93,145,57,63,94.5,124.5,179,108,50,75.5,46,90,160.5,251.5
P55055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2413,387.5,387.5,384,1410.5,307.5,338,464.5,368,353,397.5,635.5,338.5,367.5
P62508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2388,327.5,346.5,389.5,483.5,450.5,334,479,648,319.5,357,443,424
Q03181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2306,1448.5,418.5,243.5,332,342.5,336,220,462.5,363.5,326.5,351.5
Q07869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448,444,238,323.5,340,322,234,475,368,308,350
Q13133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2332,330.5,353,488.5,404.5,362,416.5,670.5,359.5,361
Q13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2474,348,285.5,309,365.5,295,250,400.5,361
Q14541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133,363.5,363.5,368.5,295.5,320,500.5,505
Q14994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834,300,291,326.5,437,290,298.5
Q92570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3337,374,369,303.5,325,380
Q92731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2805,287,300,409,356.5
Q92753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2471,426,279,273.5
Q96RI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2575,291.5,334
Q9Y466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,806.5
Q9Y5X4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139
